n,size_bytes,ChaCha20,AES-256-CBC,ARC4,Blowfish-CBC,Serpent-CBC
10,1024,0.082882,0.094691,0.046093,0.128740,0.088767
11,2048,0.052842,0.028250,0.080224,0.044732,0.068464
12,4096,0.068637,0.048470,0.070473,0.061063,0.056962
13,8192,0.062245,0.080174,0.029741,0.097689,0.103086
14,16384,0.129434,0.070699,0.083193,0.139575,0.164998
15,32768,0.069486,0.138992,0.076313,0.258211,0.288777
16,65536,0.134188,0.264053,0.144733,0.492638,0.565986
17,131072,0.409342,0.508975,0.251821,0.926432,1.056546
18,262144,0.475514,0.972714,0.481280,1.745339,2.096430
19,524288,0.991898,2.093385,1.089548,3.743642,4.404504
20,1048576,2.047633,4.115832,2.069131,7.065583,8.802915
21,2097152,4.254998,7.968800,4.405507,14.132457,16.138752
22,4194304,8.143928,16.490131,7.706094,28.627819,32.809256
23,8388608,16.082083,31.865536,15.773047,57.216838,66.187857
24,16777216,31.848599,62.929535,32.454358,113.247316,134.287642
25,33554432,63.215294,128.565537,65.050801,228.685881,265.134339
26,67108864,125.460270,256.385672,130.654859,457.992085,529.972881
