nibble,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
0,116,74,70,53,70,67,64,58,76,64,79,63,58,63,61,68,77,63,52,74,90,58,58,63,62,75,65,51,69,70,66
1,8,83,65,47,65,73,60,63,69,79,61,64,71,62,71,70,84,61,76,60,61,58,61,60,57,70,55,59,75,63,54
2,32,72,83,55,60,65,56,59,58,67,67,75,67,51,64,78,65,75,68,66,68,54,63,67,59,64,82,61,55,57,61
3,108,98,100,54,79,53,59,72,59,60,57,49,56,69,73,46,50,61,60,74,70,80,71,58,57,52,65,73,77,54,66
4,20,17,51,53,53,65,66,61,60,61,66,65,59,57,68,55,64,75,60,55,49,61,54,88,74,58,67,68,61,64,54
5,6,72,103,55,70,68,44,58,65,69,55,59,61,73,71,77,56,62,72,72,60,76,76,79,78,64,89,61,57,72,73
6,214,68,44,50,48,55,71,66,49,62,59,76,64,77,62,59,58,66,58,70,57,68,61,51,64,69,71,71,77,65,72
7,22,90,75,70,69,66,73,60,64,57,64,68,64,66,69,67,64,75,72,55,68,78,66,65,71,65,63,55,60,81,74
8,12,116,30,83,68,63,77,76,63,59,67,60,54,56,72,59,63,64,74,70,66,62,64,71,96,58,53,54,68,74,79
9,4,65,53,62,61,76,73,60,62,57,72,71,75,74,75,56,74,60,71,77,49,53,70,76,48,63,61,73,60,70,73
10,216,35,85,75,60,65,68,82,58,68,66,73,65,78,52,61,67,70,63,74,77,64,55,58,65,66,62,58,72,76,58
11,24,85,66,77,78,62,65,61,74,67,59,58,62,59,62,77,62,69,68,63,75,64,65,64,69,61,59,62,63,58,64
12,6,25,33,84,70,71,68,74,70,60,65,59,67,54,55,69,79,68,63,57,55,62,62,63,62,69,55,73,47,59,66
13,112,59,47,76,62,62,65,70,60,72,72,68,64,71,62,68,61,49,64,56,56,76,61,63,69,58,59,83,62,56,60
14,22,7,80,66,48,68,52,67,70,67,63,70,82,54,56,59,62,58,58,60,70,71,71,57,58,75,68,75,63,73,63
15,118,74,55,80,79,61,79,53,83,71,68,62,71,76,67,71,54,64,61,57,69,55,82,57,51,73,66,63,74,48,57
